            1.97233E+04   4.24026E+04   6.25334E+04   7.16229E+04   8.22473E+04   1.22243E+05   2.21570E+05   4.04502E+05   6.80293E+05   1.07976E+06   1.71148E+06   2.74896E+06   4.42286E+06   7.08732E+06   1.13023E+07   1.79113E+07   2.81185E+07   4.34814E+07   6.55642E+07   9.47317E+07   1.27717E+08   1.55571E+08   1.67043E+08   1.59323E+08   1.45105E+08   1.45062E+08   1.75655E+08   2.44729E+08   3.49982E+08   4.74486E+08   5.85592E+08
            1.97589E+04   4.24790E+04   6.26462E+04   7.17520E+04   8.23956E+04   1.22463E+05   2.21970E+05   4.05230E+05   6.81518E+05   1.08170E+06   1.71456E+06   2.75392E+06   4.43085E+06   7.10016E+06   1.13228E+07   1.79440E+07   2.81701E+07   4.35617E+07   6.56855E+07   9.49051E+07   1.27942E+08   1.55826E+08   1.67289E+08   1.59539E+08   1.45323E+08   1.45384E+08   1.76255E+08   2.45811E+08   3.51651E+08   4.76612E+08   5.87785E+08

ah          1.30012E-14   5.81068E-14   1.82162E-13   4.23059E-13   7.83048E-13   1.28371E-12   2.16571E-12   4.27674E-12   9.74822E-12   2.34099E-11   5.70577E-11   1.41784E-10   3.59580E-10   9.24902E-10   2.40037E-09   6.26813E-09   1.64433E-08   4.32842E-08   1.14158E-07   3.00785E-07   7.87869E-07   2.04003E-06   5.19464E-06   1.29028E-05   3.07748E-05   6.91092E-05   1.43937E-04   2.76015E-04   4.86110E-04   7.85738E-04   1.16728E-03
            1.33655E-14   5.97308E-14   1.87244E-13   4.34774E-13   8.04158E-13   1.31569E-12   2.21057E-12   4.34205E-12   9.85423E-12   2.35980E-11   5.74060E-11   1.42449E-10   3.60907E-10   9.27708E-10   2.40666E-09   6.28296E-09   1.64798E-08   4.33769E-08   1.14399E-07   3.01425E-07   7.89581E-07   2.04463E-06   5.20693E-06   1.29346E-05   3.08509E-05   6.92719E-05   1.44242E-04   2.76505E-04   4.86769E-04   7.86425E-04   1.16772E-03
            1.37439E-14   6.14174E-14   1.92522E-13   4.46940E-13   8.26080E-13   1.34888E-12   2.25711E-12   4.40974E-12   9.96385E-12   2.37922E-11   5.77642E-11   1.43130E-10   3.62261E-10   9.30559E-10   2.41302E-09   6.29790E-09   1.65164E-08   4.34699E-08   1.14641E-07   3.02066E-07   7.91295E-07   2.04924E-06   5.21923E-06   1.29664E-05   3.09270E-05   6.94347E-05   1.44546E-04   2.76995E-04   4.87426E-04   7.87109E-04   1.16815E-03
            1.41385E-14   6.31760E-14   1.98025E-13   4.59626E-13   8.48935E-13   1.38349E-12   2.30560E-12   4.48015E-12   1.00776E-11   2.39931E-11   5.81339E-11   1.43830E-10   3.63646E-10   9.33459E-10   2.41946E-09   6.31298E-09   1.65533E-08   4.35634E-08   1.14884E-07   3.02708E-07   7.93011E-07   2.05385E-06   5.23155E-06   1.29982E-05   3.10031E-05   6.95975E-05   1.44850E-04   2.77484E-04   4.88081E-04   7.87789E-04   1.16857E-03
            1.45517E-14   6.50174E-14   2.03787E-13   4.72908E-13   8.72864E-13   1.41970E-12   2.35632E-12   4.55368E-12   1.01962E-11   2.42020E-11   5.85168E-11   1.44552E-10   3.65067E-10   9.36417E-10   2.42600E-09   6.32821E-09   1.65905E-08   4.36572E-08   1.15128E-07   3.03352E-07   7.94730E-07   2.05846E-06   5.24388E-06   1.30300E-05   3.10794E-05   6.97604E-05   1.45155E-04   2.77972E-04   4.88735E-04   7.88466E-04   1.16899E-03
            1.49862E-14   6.69540E-14   2.09846E-13   4.86877E-13   8.98027E-13   1.45778E-12   2.40960E-12   4.63082E-12   1.03203E-11   2.44199E-11   5.89148E-11   1.45299E-10   3.66528E-10   9.39442E-10   2.43264E-09   6.34362E-09   1.66279E-08   4.37515E-08   1.15372E-07   3.03996E-07   7.96451E-07   2.06308E-06   5.25622E-06   1.30619E-05   3.11556E-05   6.99234E-05   1.45459E-04   2.78460E-04   4.89387E-04   7.89141E-04   1.16941E-03
            1.54453E-14   6.90001E-14   2.16249E-13   5.01635E-13   9.24610E-13   1.49799E-12   2.46582E-12   4.71210E-12   1.04508E-11   2.46482E-11   5.93302E-11   1.46074E-10   3.68036E-10   9.42542E-10   2.43941E-09   6.35924E-09   1.66657E-08   4.38464E-08   1.15617E-07   3.04643E-07   7.98176E-07   2.06771E-06   5.26859E-06   1.30939E-05   3.12320E-05   7.00864E-05   1.45763E-04   2.78947E-04   4.90037E-04   7.89811E-04   1.16982E-03
